"Date","Day","Month","Year","Type","Country","Area","Location","Activity","Sex","Age","Injury","Fatal..Y.N.","Species","address","latitude","longitude"
"11-Nov-11",11,"Nov",2011,"Unprovoked","REUNION","Bois-Blanc","Sainte-Rose","Diving","M",42,"Left foot bitten","N","Unknown","Sainte-Rose , Bois-Blanc , REUNION",-21.1982399999999,55.81976
"29-Oct-11",29,"Oct",2011,"Unprovoked","USA","California","Marina State Beach, Monterey County","Surfing","M",27,"Lacerations to right wrist, foream & neck","N","White shark","Marina State Beach, Monterey County , California , USA",36.6830400000001,-121.80935
"28-Oct-11",28,"Oct",2011,"Unprovoked","SCOTLAND","Moray","Spey Bay","Surfing","M",26,"No injury, shark bumped leg & board.","N","Unknown","Spey Bay , Moray , SCOTLAND",57.6686749190001,-3.08337472399995
"22-Oct-11",22,"Oct",2011,"Unprovoked","AUSTRALIA","Western Australia","Rottnest Island","Diving","M",32,"FATAL","Y","White shark","Rottnest Island , Western Australia , AUSTRALIA",-31.99929,115.53102
"20-Oct-11",20,"Oct",2011,"Unprovoked","USA","Oregon","Newport, Lincoln County","Surfing","M",41,"No injury, shark bit surfboard","N","White shark","Newport, Lincoln County , Oregon , USA",44.6322700000001,-124.0576
"19-Oct-11",19,"Oct",2011,"Unprovoked","AUSTRALIA","Victoria","Elwood Beach","Diving","M",50,"Small bruise to calf","N","Port Jackson shark","Elwood Beach , Victoria , AUSTRALIA",-37.88863,144.98409
"9-Oct-11",9,"Oct",2011,"Unprovoked","AUSTRALIA","Western Australia","Cottesloe Beach","Swimming","M",64,"FATAL","Y","Unknown","Cottesloe Beach , Western Australia , AUSTRALIA",-32.01206,115.75265
"28-Sep-11",28,"Sep",2011,"Provoked","DOMINICAN REPUBLIC","Saman? Province","Playa Jackson","Fishing","M",48,"Severe injuries to left arm PROVOKED INCIDENT","N","Unknown","Playa Jackson , Saman? Province , DOMINICAN REPUBLIC",19.28333,-69.7
"28-Sep-11",28,"Sep",2011,"Unprovoked","SOUTH AFRICA","Western Cape Province","Clovely Beach","Swimming","M",43,"Right leg severed, left leg lacerated","N","White shark","Clovely Beach , Western Cape Province , SOUTH AFRICA",-33.8766899999999,22.3608400000001
"24-Sep-11",24,"Sep",2011,"Unprovoked","USA","Florida","Santa Maria Island, Manatee County","Fishing","M",21,"Laceration to left thigh","N","Bull shark","Santa Maria Island, Manatee County , Florida , USA",27.4621650401792,-82.6604399190566
"24-Sep-11",24,"Sep",2011,"Unprovoked","USA","South Carolina","North Myrtle Beach, Horry County","Playing in the water","M",5,"Laceration to left thigh","N","Unknown","North Myrtle Beach, Horry County , South Carolina , USA",33.82766,-78.6849
"19-Sep-11",19,"Sep",2011,"Unprovoked","REUNION","Saint-Gilles","Boucan-Canot","Paddle and Boogie boarding","M",38,"FATAL","Y","Unknown","Boucan-Canot , Saint-Gilles , REUNION",-21.0282347452858,55.2262230091967
"17-Sep-11",17,"Sep",2011,"Unprovoked","KENYA","Coast Province","Mama Ngina Beach, Mombasa","Swimming","M",17,"FATAL","Y","Unknown","Mama Ngina Beach, Mombasa , Coast Province , KENYA",-4.05465999999996,39.6635900000001
"16-Sep-11",16,"Sep",2011,"Unprovoked","USA","Florida","New Smyrna Beach","Surfing","M",25,"Lacerations to arm","N","Unknown","New Smyrna Beach , Florida , USA",29.02716,-80.92303
"11-Sep-11",11,"Sep",2011,"Unprovoked","USA","California","Samoa Beach, Humboldt County","Surfing","M",37,"No injury, board bitten","N","Unknown","Samoa Beach, Humboldt County , California , USA",40.8229796319943,-124.172014272776
"11-Sep-11",11,"Sep",2011,"Unprovoked","PAPUA NEW GUINEA","Central Province","Hula, near Port Moresby","Surfing","M",30,"Lacerations to right leg","N","Tiger shark","Hula, near Port Moresby , Central Province , PAPUA NEW GUINEA",-9.45506999999998,147.20381
"4-Sep-11",4,"Sep",2011,"Unprovoked","AUSTRALIA","Western Australia","Bunker Bay","Paddle and Boogie boarding","M",21,"FATAL","Y","White shark","Bunker Bay , Western Australia , AUSTRALIA",-33.54306,115.0411
"2-Sep-11",2,"Sep",2011,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Surfing","M",19,"Lacerations to ankle & foot","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"31-Aug-11",31,"Aug",2011,"Unprovoked","USA","Florida","Crescent Beach St. Johns County","Surfing","M",19,"Lacerations to lower leg","N","Unknown","Crescent Beach St. Johns County , Florida , USA",29.7705800000001,-81.25489
"28-Aug-11",28,"Aug",2011,"Unprovoked","USA","Texas","Grass Island, Aransas County","Walking","F",39,"Lacerations to anterior left shin, abrasion to posteior right leg","N","Unknown","Grass Island, Aransas County , Texas , USA",28.1341800000001,-96.91777
"24-Aug-11",24,"Aug",2011,"Unprovoked","USA","North Carolina","Buxton Beach, Dare County","Surfing","M",21,"Lacerations to foot","N","Unknown","Buxton Beach, Dare County , North Carolina , USA",35.2627400000001,-75.56758
"23-Aug-11",23,"Aug",2011,"Unprovoked","SOUTH AFRICA","Western Cape Province","Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay","Surfing","M",49,"FATAL","Y","White shark","Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay , Western Cape Province , SOUTH AFRICA",-33.8766899999999,22.3608400000001
"18-Aug-11",18,"Aug",2011,"Unprovoked","RUSSIA","Peter the Great Bay, Khasan, Primorsky Krai (Far East)","Zheltukhin Island","Swimming","M",16,"Lacerations to hip, thigh and knee","N","Unknown","Zheltukhin Island , Peter the Great Bay, Khasan, Primorsky Krai (Far East) , RUSSIA",42.4293000000001,130.64373
"17-Aug-11",17,"Aug",2011,"Unprovoked","RUSSIA","Telyakovsky Bay, Khasan, Primorsky Krai (Far East)","Vityaz","Swimming","M",25,"Hands severed","N","Unknown","Vityaz , Telyakovsky Bay, Khasan, Primorsky Krai (Far East) , RUSSIA",42.4293000000001,130.64373
"16-Aug-11",16,"Aug",2011,"Unprovoked","FRENCH POLYNESIA","Society Islands","Teahupoo, Tahiti","Surfing","M",32,"No injury, board bitten","N","Grey reef shark","Teahupoo, Tahiti , Society Islands , FRENCH POLYNESIA",-17.6773979339999,-149.400973297
"16-Aug--2011",16,"Aug",2011,"Unprovoked","USA","Puerto Rico","Vieques","Floating","M",27,"Lacerations to  lower right leg and foot","N","Unknown","Vieques , Puerto Rico , USA",18.1234180970001,-65.441015176
"16-Aug-11",16,"Aug",2011,"Unprovoked","SEYCHELLES","Praslin","Anse Lazio","Swimming","M",30,"FATAL","Y","Bull shark","Anse Lazio , Praslin , SEYCHELLES",-4.29360999999994,55.7064700000001
"15-Aug-11",15,"Aug",2011,"Invalid","USA","South Carolina","Myrtle Beach, Horry County","Playing in the water","M",7,"Puncture wounds to foot","N","Unknown","Myrtle Beach, Horry County , South Carolina , USA",33.6937300000001,-78.8823199999999
"11-Aug--2011",11,"Aug",2011,"Unprovoked","USA","North Carolina","Beaufort Inlet","Swimming","M",54,"Lower right leg bitten","N","Unknown","Beaufort Inlet , North Carolina , USA",34.69377,-76.66632
"1-Aug-11",1,"Aug",2011,"Unprovoked","SEYCHELLES","Praslin","Anse Lazio","Diving","M",36,"FATAL","Y","Unknown","Anse Lazio , Praslin , SEYCHELLES",-4.29360999999994,55.7064700000001
"22-Jul-11",22,"Jul",2011,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","Cintza Beach, East London","Surfing","M",29,"Upper left arm & right leg bitten","N","White shark","Cintza Beach, East London , Eastern Cape Province , SOUTH AFRICA",-32.9949399470328,27.8324400763179
"19-Jul-11",19,"Jul",2011,"Unprovoked","USA","North Carolina","Ocracoke Island, Hyde County","Paddle and Boogie boarding","F",6,"Lower right leg & foot bitten","N","Unknown","Ocracoke Island, Hyde County , North Carolina , USA",35.13212,-75.9051699999999
"13-Jul-11",13,"Jul",2011,"Unprovoked","BAHAMAS","Grand Bahama Island","Off Lucaya","Diving","M",54,"Injuries to arm","N","Unknown","Off Lucaya , Grand Bahama Island , BAHAMAS",26.51232,-78.6430799999999
"7-Jul-11",7,"Jul",2011,"Unprovoked","USA","Texas","Sunday Beach, Matagorda Island, Calhoun  County","Swimming","M",12,"Foot bitten","N","Unknown","Sunday Beach, Matagorda Island, Calhoun  County , Texas , USA",28.3957100000001,-96.52224
"7-Jul-11",7,"Jul",2011,"Unprovoked","USA","Texas","Mustang Island, Nueces County","Walking","M",14,"Lacerations to right foot","N","Unknown","Mustang Island, Nueces County , Texas , USA",27.7394800000001,-97.13166
"6-Jul-11",6,"Jul",2011,"Unprovoked","REUNION","Saint-Gilles","Roches Noires","Surfing","M",16,"Minor injuries: scratches on nose & ankle. Board broken in two","N","Unknown","Roches Noires , Saint-Gilles , REUNION",-21.0531799999999,55.22799
"5-Jul-11",5,"Jul",2011,"Unprovoked","COLUMBIA","Sucre","Libertad, San Onofre","Kayaking","M",17,"Right arm bitten, defense wounds to left hand","N","Unknown","Libertad, San Onofre , Sucre , COLUMBIA",9.89764000000002,-75.5731699999999
"30-Jun-11",30,"Jun",2011,"Unprovoked","TURKS & CAICOS","Middle Caicos","Mudjin Harbor","Snorkeling","M",28,"Lacerations to left shoulder and back","N","Unknown","Mudjin Harbor , Middle Caicos , TURKS & CAICOS",21.8358000000001,-71.76458
"29-Jun-11",29,"Jun",2011,"Unprovoked","BRAZIL","Pernambuco","Praia do Pina","Surfing","M",21,"Lacerations to right thigh","N","Unknown","Praia do Pina , Pernambuco , BRAZIL",-8.07450999999998,-34.87366
"28-Jun-11",28,"Jun",2011,"Unprovoked","SOUTH AFRICA","KwaZulu-Natal","Aliwal Shoal","Diving","M",22,"Severe lacerations to hands and  left leg","N","Bull shark","Aliwal Shoal , KwaZulu-Natal , SOUTH AFRICA",-30.2499999999999,30.81667
"26-Jun-08",26,"Jun",2011,"Unprovoked","USA","North Carolina","North Topsail Beach, Onslow County","Playing in the water","F",10,"Ankle bitten","N","Bull shark","North Topsail Beach, Onslow County , North Carolina , USA",34.4929900000001,-77.42634
"19-Jun-11",19,"Jun",2011,"Unprovoked","TURKS & CAICOS","Caicos Bank","French Cay","Fishing","M",35,"Right calf bitten","N","Unknown","French Cay , Caicos Bank , TURKS & CAICOS",21.58333,-71.91667
"19-Jun-11",19,"Jun",2011,"Unprovoked","COSTA RICA","Guanacaste","Playa Grande","Surfing","M",15,"FATAL","Y","Unknown","Playa Grande , Guanacaste , COSTA RICA",10.3167700000001,-85.8389799999999
"15-Jun-11",15,"Jun",2011,"Unprovoked","REUNION","Saint-Gilles-les-Bains","Boucan-Canot","Paddle and Boogie boarding","M",31,"FATAL","Y","Unknown","Boucan-Canot , Saint-Gilles-les-Bains , REUNION",-21.05438,55.2285000000001
"12-Jun-11",12,"Jun",2011,"Unprovoked","USA","Florida","Off Jupiter Inlet, Palm Beach County","Diving","M",28,"Lacerations to right calf","N","Blacktip shark","Off Jupiter Inlet, Palm Beach County , Florida , USA",26.94478,-80.07199
"6-Jun-11",6,"Jun",2011,"Unprovoked","COLUMBIA","San Andr?s archipelago","Albuquerque Cay","Fishing","M",24,"Injuries to right hand and forearm","N","Unknown","Albuquerque Cay , San Andr?s archipelago , COLUMBIA",12.16706,-81.85857
"6-Jun-11",6,"Jun",2011,"Unprovoked","USA","California","La Jolla, San Diego County","Fishing","M",28,"No injury, minor damage to wetsuit","N","Sevengill shark","La Jolla, San Diego County , California , USA",32.84279,-117.27204
"6-Jun-11",6,"Jun",2011,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Walking","M",19,"Puncture wound to calf","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"30-May-11",30,"May",2011,"Unprovoked","USA","Texas","Follett's Island, Brazoria County","Standing","F",22,"Lacerations & punctures to right thigh","N","Unknown","Follett's Island, Brazoria County , Texas , USA",29.04247,-95.16965
"29-May-11",29,"May",2011,"Unprovoked","SOUTH AFRICA","Western Cape Province","Robberg Beach","Surfing","M",33,"No injury, board bumped by shark","N","White shark","Robberg Beach , Western Cape Province , SOUTH AFRICA",-34.0617399999999,23.3789
"21-May-11",21,"May",2011,"Unprovoked","SOUTH AFRICA","KwaZulu-Natal","Levan Point","Fishing","M",28,"Thigh bitten, FATAL","Y","Zambesi shark","Levan Point , KwaZulu-Natal , SOUTH AFRICA",-27.9252,32.5945600000001
"13-May-11",13,"May",2011,"Unprovoked","USA","Florida","Ponte Vedra Beach, St Johns County","Paddle and Boogie boarding","M",86,"Lacerations to left foot & ankle","N","Unknown","Ponte Vedra Beach, St Johns County , Florida , USA",30.22612,-81.38668
"21-May-11",21,"May",2011,"Unprovoked","NEW CALEDONIA","North Province","Kendec","Paddle and Boogie boarding","M",15,"Thigh bitten, FATAL","Y","Tiger shark","Kendec , North Province , NEW CALEDONIA",-22.2760975424465,166.455674468466
"4-May-11",4,"May",2011,"Unprovoked","SOUTH AFRICA","KwaZulu-Natal","Palm Beach","Fishing","M",37,"Calf bitten","N","Unknown","Palm Beach , KwaZulu-Natal , SOUTH AFRICA",-30.98078,30.27054
"26-Apr-11",26,"Apr",2011,"Unprovoked","USA","Florida","Riviera Beach, Palm Beach County","Fishing","M",32,"Calf bitten","N","Bull shark","Riviera Beach, Palm Beach County , Florida , USA",26.78349,-80.0640099999999
"23-Apr-11",23,"Apr",2011,"Unprovoked","AUSTRALIA","Western Australia","Red Bluffs","Swimming","M",17,"Heel bitten","N","Reef shark","Red Bluffs , Western Australia , AUSTRALIA",-18.8,126.46667
"22-Apr-11",22,"Apr",2011,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Surfing","M",49,"Minor puncture wounds","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"16-Apr-11",16,"Apr",2011,"Unprovoked","NEW ZEALAND","South Island","Snapper Point","Surfing","M",41,"Puncture to left hand","N","Bronze whaler shark","Snapper Point , South Island , NEW ZEALAND",-43.07829,170.36011
"8-Apr-11",8,"Apr",2011,"Unprovoked","FIJI","Vitu Levu","Malake Island, Ra Province","Diving","M",27,"Minor injuries to left leg and hand","N","Unknown","Malake Island, Ra Province , Vitu Levu , FIJI",-17.4999999999999,178.16667
"23-Mar-11",23,"Mar",2011,"Unprovoked","AUSTRALIA","New South Wales","Crowdy Head","Surfing","M",48,"Severe injury to left forearm","N","Bull shark","Crowdy Head , New South Wales , AUSTRALIA",-31.8425999999999,152.7446
"21-Mar-11",21,"Mar",2011,"Unprovoked","MEXICO","Quintana Roo",NA,"Swimming","M",46,"Right foot bitten","N","Unknown","NA , Quintana Roo , MEXICO",19.6365845340001,-88.113741842
"16-Mar-11",16,"Mar",2011,"Unprovoked","AUSTRALIA","New South Wales","Jimmys Beach, Port Stephens","Paddle and Boogie boarding","F",24,"Severe injuries to head, neck, shoulder & upper left arm","N","Unknown","Jimmys Beach, Port Stephens , New South Wales , AUSTRALIA",-32.7127622667368,152.158947007618
"28-Feb-11",28,"Feb",2011,"Provoked","AUSTRALIA","Queensland","Between","Fishing","M",36,"Lacerations to right hand by hooked shark PROVOKED INCIDENT","N","Bull shark","Between , Queensland , AUSTRALIA",-22.565347629,144.54908572
"23-Feb-11",23,"Feb",2011,"Unprovoked","NEW CALEDONIA","Loyalty Islands","Bay of Bweedro, Ouv?a","Fishing","M",21,"Lacerations to left forearm","N","Unknown","Bay of Bweedro, Ouv?a , Loyalty Islands , NEW CALEDONIA",-20.9999999999999,167
"18-Feb-11",18,"Feb",2011,"Unprovoked","REUNION","Saint Gilles","Trois-Roches","Surfing","M",32,"Left leg severed at the knee","N","Unknown","Trois-Roches , Saint Gilles , REUNION",-21.0499310288048,55.222213054643
"17-Feb-11",17,"Feb",2011,"Unprovoked","AUSTRALIA","South Australia","Off Perforated Island near Coffin Bay","Diving","M",49,"FATAL","Y","White shark","Off Perforated Island near Coffin Bay , South Australia , AUSTRALIA",-34.60781,135.3545
"12-Feb-11",12,"Feb",2011,"Unprovoked","AUSTRALIA","Western Australia","Exmouth","Snorkeling","M",58,"Arm bitten","N","Unknown","Exmouth , Western Australia , AUSTRALIA",-21.9289899999999,114.12347
"2-Feb-11",2,"Feb",2011,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","Sundays River Mouth, Port Elizabeth","Fishing","M",37,"Right leg bitten","N","Unknown","Sundays River Mouth, Port Elizabeth , Eastern Cape Province , SOUTH AFRICA",-33.9567655138888,25.4779008151945
"31-Jan-11",31,"Jan",2011,"Unprovoked","MEXICO","Quintana Roo","Cancun","Swimming","F",38,"Leg, forearm & hand severely bitten","N","Unknown","Cancun , Quintana Roo , MEXICO",21.1622,-86.83568
"28-Jan-11",28,"Jan",2011,"Provoked","MEXICO","Colima","Revillagigedo Islands","Fishing","M",25,"Left eg bitten PROVOKED INCIDENT","N","Unknown","Revillagigedo Islands , Colima , MEXICO",19.0000000000001,-111.5
"26-Jan-11",26,"Jan",2011,"Unprovoked","BAHAMAS","West End","Tiger Beach","Diving","M",55,"Arm bitten","N","Caribbean reef shark","Tiger Beach , West End , BAHAMAS",26.6697600000001,-78.9501999999999
"15-Jan-11",15,"Jan",2011,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","Second Beach, Port St. John's","Surfing","M",16,"FATAL","Y","Unknown","Second Beach, Port St. John's , Eastern Cape Province , SOUTH AFRICA",-31.6505999999999,29.5149200000001
"26-Dec-10",26,"Dec",2010,"Unprovoked","USA","Hawaii","Kahului, Maui","Paddle and Boogie boarding","M",16,"Lacerations to his lower left leg, calf, foot & ankle","N","Unknown","Kahului, Maui , Hawaii , USA",20.89102,-156.46727
"11-Dec-10",11,"Dec",2010,"Unprovoked","USA","Hawaii","Tavares Bay, Maui","Surfing","M",46,"Lacerations to right foot","N","Unknown","Tavares Bay, Maui , Hawaii , USA",20.8595351270001,-156.564606782
"5-Dec-10",5,"Dec",2010,"Unprovoked","EGYPT","South Sinai Peninsula","Middle Garden, Sharm el-Shiekh","Snorkeling","F",70,"FATAL","Y","Oceanic whitetip shark","Middle Garden, Sharm el-Shiekh , South Sinai Peninsula , EGYPT",27.86951,34.3041900000001
"1-Dec-10",1,"Dec",2010,"Unprovoked","EGYPT","South Sinai Peninsula","Ras Nasrani, Sharm el-Sheikh","Snorkeling","M",54,"Both arms severely bitten","N","Mako shark","Ras Nasrani, Sharm el-Sheikh , South Sinai Peninsula , EGYPT",27.86951,34.3041900000001
"1-Dec-10",1,"Dec",2010,"Unprovoked","EGYPT","South Sinai Peninsula","Ras Nasrani, Sharm el-Sheikh","Snorkeling","M",46,"Lacerations to right leg","N","Mako shark","Ras Nasrani, Sharm el-Sheikh , South Sinai Peninsula , EGYPT",27.86951,34.3041900000001
"30-Nov-10",30,"Nov",2010,"Unprovoked","EGYPT","South Sinai Peninsula","Coral Bay, Sharm el-Sheikh","Snorkeling","F",70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)","N","Oceanic whitetip shark","Coral Bay, Sharm el-Sheikh , South Sinai Peninsula , EGYPT",27.86951,34.3041900000001
"30-Nov-10",30,"Nov",2010,"Unprovoked","EGYPT","South Sinai Peninsula","Coral Bay, Sharm el-Sheikh","Snorkeling","F",48,"Foot and arm bitten","N","Oceanic whitetip shark","Coral Bay, Sharm el-Sheikh , South Sinai Peninsula , EGYPT",27.86951,34.3041900000001
"19-Nov-10",19,"Nov",2010,"Provoked","USA","Palmyra Atoll",NA,"Snorkeling","M",33,"Head bitten by netted shark PROVOKED INCIDENT","N","Unknown","NA , Palmyra Atoll , USA",5.87552570300005,-162.074795
"30-Oct-10",30,"Oct",2010,"Unprovoked","AUSTRALIA","Western Australia","Off Garden Island","Snorkeling","F",20,"Torso and left buttock bitten","N","White shark","Off Garden Island , Western Australia , AUSTRALIA",-32.2252,115.68654
"23-Oct-10",23,"Oct",2010,"Unprovoked","USA","Maine","Burnt Cove near Eastport, Washington County","Diving","M",30,"No injury to diver, shark bit his video camera","N","Porbeagle shark","Burnt Cove near Eastport, Washington County , Maine , USA",44.9070973404808,-66.9903542417912
"23-Oct-10",23,"Oct",2010,"Unprovoked","AUSTRALIA","Western Australia","Wedge Island","Surfing","M",14,"Lacerations to lower right leg","N","Unknown","Wedge Island , Western Australia , AUSTRALIA",-30.81954,115.19986
"22-Oct-10",22,"Oct",2010,"Unprovoked","USA","California","Surf Beach, Vandenberg AFB, Santa Barbara County","Paddle and Boogie boarding","M",19,"FATAL","Y","White shark","Surf Beach, Vandenberg AFB, Santa Barbara County , California , USA",34.7047495176005,-120.597050569293
"9-Oct-10",9,"Oct",2010,"Unprovoked","AUSTRALIA","New South Wales","Mullaway Headland","Surfing","M",22,"Foot bitten","N","Bull shark","Mullaway Headland , New South Wales , AUSTRALIA",-30.0765096629395,153.19596135672
"27-Sep-10",27,"Sep",2010,"Unprovoked","USA","Oregon","Winchester Bay","Surfing","M",29,"No injury, surfboard rammed","N","White shark","Winchester Bay , Oregon , USA",43.6750000000001,-124.17389
"24-Sep-10",24,"Sep",2010,"Unprovoked","USA","Virginia","Sandridge Beach","Surfing","M",18,"Bite to left ankle and knee","N","Unknown","Sandridge Beach , Virginia , USA",36.7462100000001,-75.94443
"21-Sep-10",21,"Sep",2010,"Unprovoked","SOUTH AFRICA","Western Cape Province","Between Dyer Island and Pearly Beach","Swimming","M",29,"FATAL","Y","White shark","Between Dyer Island and Pearly Beach , Western Cape Province , SOUTH AFRICA",-34.66682,19.5047200000001
"13-Sep-10",13,"Sep",2010,"Unprovoked","AUSTRALIA","New South Wales","Fraser's Reef","Surfing","M",15,"Lacerations and puncture wounds to leg and foot","N","Unknown","Fraser's Reef , New South Wales , AUSTRALIA",-32.5152499385573,151.685289151113
"7-Sep-10",7,"Sep",2010,"Unprovoked","USA","Florida","St. Augustine, St. John's County","Swimming","M",27,"Lacerations to left wrist","N","Unknown","St. Augustine, St. John's County , Florida , USA",29.89216,-81.31411
"6-Sep-10",6,"Sep",2010,"Unprovoked","TONGA","Ha'api",NA,"Swimming","M",24,"Puncture wounds to right foot","N","Unknown","NA , Ha'api , TONGA",-19.749231729,-175.066993281
"3-Sep-10",3,"Sep",2010,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Surfing","M",24,"Lacerations to right  hand","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"3-Sep-10",3,"Sep",2010,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Surfing","M",24,"Left thigh bitten","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"18-Aug-10",18,"Aug",2010,"Unprovoked","USA","Florida","Crescent Beach St. Johns County","Paddle and Boogie boarding","M",10,"Minor injuries to foot","N","Unknown","Crescent Beach St. Johns County , Florida , USA",29.7705800000001,-81.25489
"17-Aug-10",17,"Aug",2010,"Unprovoked","AUSTRALIA","Western Australia","Cowaramup Bay","Surfing","M",31,"FATAL","Y","White shark","Cowaramup Bay , Western Australia , AUSTRALIA",-33.86159,114.9837
"14-Aug-10",14,"Aug",2010,"Boating","USA","California","Pigeon Point, San Mateo County","Fishing","M",45,"No injury, kayak bitten","N","White shark","Pigeon Point, San Mateo County , California , USA",37.1818900000001,-122.3947
"10-Aug-10",10,"Aug",2010,"Unprovoked","SOUTH KOREA","Jeju Province","Jeju Island","Swimming","F",16,"Lacerations to left lower leg","N","Unknown","Jeju Island , Jeju Province , SOUTH KOREA",33.4166700000001,126.5
"8-Aug-10",8,"Aug",2010,"Unprovoked","AUSTRALIA","New South Wales","Crescent Head","Surfing","M",47,"Left foot bitten","N","Unknown","Crescent Head , New South Wales , AUSTRALIA",-31.18832,152.97248
"7-Aug-10",7,"Aug",2010,"Unprovoked","USA","North Carolina","Figure Eight Island, Wilmington, New Hanover County","Surfing","M",25,"Left foot bitten","N","Unknown","Figure Eight Island, Wilmington, New Hanover County , North Carolina , USA",34.270696,-77.748637
"7-Aug-10",7,"Aug",2010,"Unprovoked","MALTA",NA,"Off Fort St. Elmo, Valetta","Surfing","M",35,"No injury, sail bitten","N","Unknown","Off Fort St. Elmo, Valetta , NA , MALTA",35.8935300000001,14.5118000000001
"2-Aug-10",2,"Aug",2010,"Unprovoked","USA","Florida","Micklers Landing, St. Johns County","Standing","F",37,"Lacerations to forearm","N","Unknown","Micklers Landing, St. Johns County , Florida , USA",30.161351,-81.362307
"25-Jul-10",25,"Jul",2010,"Unprovoked","USA","South Carolina","Isle of Palms, Charleston County","Standing","M",16,"Lacerations to right lower leg","N","Unknown","Isle of Palms, Charleston County , South Carolina , USA",32.78997,-79.7838399999999
"23-Jul-10",23,"Jul",2010,"Unprovoked","USA","Florida","Jacksonville Beach, Duval County","Surfing","M",20,"Left foot bitten","N","Unknown","Jacksonville Beach, Duval County , Florida , USA",30.2889900000001,-81.39186
"19-Jul-10",19,"Jul",2010,"Unprovoked","USA","South Carolina","Myrtle Beach","Swimming","M",10,"Minor lacerations to left calf","N","Blacktip shark","Myrtle Beach , South Carolina , USA",33.6937300000001,-78.8823199999999
"17-Jul-10",17,"Jul",2010,"Unprovoked","USA","North Carolina","Wrightsville Beach, New Hanover County","Swimming","F",13,"Lacerations to right forearm","N","Tiger shark","Wrightsville Beach, New Hanover County , North Carolina , USA",34.20824,-77.7959999999999
"17-Jul-10",17,"Jul",2010,"Unprovoked","USA","Florida","New Smyrna Beach","Surfing","M",55,"Minor lacerations to right foot","N","Spinner shark","New Smyrna Beach , Florida , USA",29.02716,-80.92303
"16-Jul-10",16,"Jul",2010,"Provoked","SPAIN","Grand Canary Island","Sardina del Norte, G?ldar","Swimming","M",9,"Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT","N","Angel shark","Sardina del Norte, G?ldar , Grand Canary Island , SPAIN",28.1552816588359,-15.6882693809221
"4-Jul-10",4,"Jul",2010,"Unprovoked","SOUTH AFRICA","KwaZulu-Natal","Two Mile Reef, Sodwana Bay","Snorkeling","F",21,"Left leg bitten","N","Unknown","Two Mile Reef, Sodwana Bay , KwaZulu-Natal , SOUTH AFRICA",-27.5403899999999,32.6781500000001
"3-Jul-10",3,"Jul",2010,"Provoked","USA","New York","Off Long Island","Fishing","M",20,"Laceration to right bicep by hooked shark PROVOKED INCIDENT","N","Blue shark","Off Long Island , New York , USA",43.22812,-76.00075
"2-Jul-10",2,"Jul",2010,"Unprovoked","USA","California","Pismo Beach, San Luis  Obispo County","Surfing","M",19,"Laceration to left foot","N","Unknown","Pismo Beach, San Luis  Obispo County , California , USA",35.1569700000001,-120.66859
"2-Jul-10",2,"Jul",2010,"Unprovoked","USA","California","Dog Patch, San Onofre","Paddle and Boogie boarding","M",48,"No injury, board bumped by shark","N","Unknown","Dog Patch, San Onofre , California , USA",33.3900600000001,-117.57997
"27-Jun-10",27,"Jun",2010,"Unprovoked","USA","Texas","Eight Mile Beach, Galveston","Surfing","M",20,"Lacerations to right foot","N","Bull shark","Eight Mile Beach, Galveston , Texas , USA",29.2506466704105,-94.8914863731702
"25-Jun-10",25,"Jun",2010,"Unprovoked","USA","South Carolina","Fripp Island","Paddle and Boogie boarding","F",6,"Laceration to leg","N","Unknown","Fripp Island , South Carolina , USA",32.32784,-80.46845
"25-Jun-10",25,"Jun",2010,"Unprovoked","USA","North Carolina","Topsail Island, Pender County","Swimming","F",13,"Laceration to left foot","N","Unknown","Topsail Island, Pender County , North Carolina , USA",34.46961,-77.47191
"15-Jun-10",15,"Jun",2010,"Unprovoked","VIETNAM","Binh Dinh Province","Quy Nhon","Swimming","M",17,"Laceration to left foot","N","Unknown","Quy Nhon , Binh Dinh Province , VIETNAM",13.7697600000001,109.23227
"10-Jun-10",10,"Jun",2010,"Unprovoked","USA","Florida","Jacksonville","Paddle and Boogie boarding","F",18,"Lacerations to left calf and foot","N","Unknown","Jacksonville , Florida , USA",30.33147,-81.65622
